公司,公司行业,经验学历,职位,工资,位置,公司描述,职位描述（大概）,福利（大概）,福利待遇（详细）,职位描述,公司介绍
舍非园艺,移动互联网,1-3年高中,园艺师,5-8K,杭州·拱墅区,移动互联网不需要融资100-499人,"绿化养护
环境绿化
病虫害防治
园艺
园艺师",带薪年假，全勤奖，餐补，零食下午茶，节日福利，五险一金，交通补助，年终奖,五险一金全勤奖年终奖带薪年假餐补交通补助节日福利零食下午茶,工作内容：草坪养护，庭院内花卉树木的养护工作；病虫害防治等。职位要求：有一定的工作经验优先，对园艺工作热爱，愿意在行业发展。具体工作地点根据城区划分，公司总部在优盘时代，可根据业务板块在杭州滨江、转塘、富阳、良渚等个区域工作。,舍非园艺是中国互联网园艺服务品牌，隶属于杭州淘园易网络科技有限公司，致力于为高端别墅提供专业庭院养护、庭院微整服务，为精英家庭创造美丽、健康的绿色庭院生活。自创立以来，舍非园艺始终秉承「互联美丽园艺，共享绿色生活」的品牌理念，致力于以前瞻化视角、定制化方案、专业化设备、流程化管理、互联网化运作，为
道道园艺,互联网,1-3年大专,小程序开发工程师,12-14K,上海·宝山区,互联网不需要融资20-99人,"HTML
原生JS
JavaScript
Vue.js
熟练掌握html",五险一金，包吃,五险一金包吃,岗位职责： 1、负责微信小程序以及部分Web前端系统开发、调试和维护； 2、负责微信小程序上线后的优化与迭代开发； 3、负责前端项目H5页面的开发； 4、与后端开发团队紧密配合，确保代码有效对接； 任职要求： 1、大专及以上学历，3年及以上前端开发经验，计算机及相关专业； 2、可以熟练开发微信小程序，提交审核，对微信开发者平台，开发者文档了解； 3、熟练掌握HTML5、CSS3、原生JS、小程序wxcss样式; 4、对主流前端框架有了解； 5、有线上小程序案例者优先；,上海道道园艺科技有限公司是园艺行业的高科技企业，公司成立于2016年9月。公司创始成员包括园林园艺行业、IT行业、物联网行业的资深人士。 道道园艺的使命：链接园艺企业与千家万户，让园艺生活成为公众生活习惯。 道道园艺的愿景：房房有绿，家家有花。公司自成立以来，致
安然园艺,电子商务,1-3年本科,文案策划7K急聘,6-8K,上海,电子商务不需要融资20-99人,"新媒体文案
广告文案
新媒体平台
活动文案
软文",加班补助，年终奖，包吃，员工旅游，全勤奖，包住，五险一金，节日福利，带薪年假,五险一金加班补助全勤奖年终奖带薪年假员工旅游包吃节日福利包住,【①来面试打车过来，报销来回车费！②公司位置有点偏但环境非常好，想在繁华市区上班的请直接忽略我们！③需要有文案策划经验，大专以上学历！薪资绝对满足你，只要你有本事，公司不缺钱，缺的是人才！】上海安然园艺有限公司旗下【爱萌多肉】淘宝店铺诚聘：文案策划岗位职责：1、策划淘宝、天猫商城等线上平台的产品详情页文案和产品广告文案；2、详情页文案，描述单品买点、设计点及各种搭配方案和场景描述；3、文笔优美且有深度，能写出产品调性，突出重点； 4、略懂多肉植物，文案主要围绕多肉植物产品，吸引共同兴趣者关注；5、每天可以写一些软性文章，适用于微博，微淘，抖音等社交平台；6、准确把握客户要求，熟知所负责产品的文字调性，能够把客户的需求贯彻到创意当中职位要求：1、有上进心和责任感，能与团队相处融洽；2、学习能力强， 有耐心，能吃苦耐劳；3、根据公司产品能独立编辑文案，熟悉热爱多肉植物经验优先；4、理解力和独立思考能力，良好的语言表达能力；薪资福利：薪资7000以上，具体面谈！工作时间：8:30点~17:30点，做六休一，加班补助。工作地址:上海市宝山区月浦镇聚发路59号爱萌多肉。,上海安然园艺有限公司致力于为全国消费者提供品质卓越、优异出色的多肉植物。公司在上海和云南建设了多肉基地，总占地50余亩。现引进了景天科多肉60多个品种，生石花、肉锥200多个品种。能充分满足不同消费者的需求。成为多肉行业的典范，在整个多肉行业里赢得了广泛的知名度和影响力。 旗下淘宝C店：爱
青木园艺,电子商务,1-3年大专,新媒体运营,4-6K,烟台,电子商务不需要融资0-20人,"营销活动
渠道销售
网络销售
小红书
图文类",节日福利，餐补，通讯补贴，零食下午茶，员工旅游，股票期权，全勤奖,全勤奖股票期权员工旅游餐补通讯补贴节日福利零食下午茶,1.需要了解微博，贴吧，知乎，小红书等图文类渠道经验，会玩，常玩，懂规则2.有一定的文案编辑能力，独立运营过公众号优先3.了解多肉植物优先4.有零售，团购，社群运营经验优先5.待遇底薪加提成的形式，均薪5k左右单休周日，上班时间早8.30到12.00，下午1.30到5.30,主营多肉植物批发，在青州潍坊有自己的加工基地。合作多肉大棚60余家，涉及多肉品种300余种，也涵盖凤梨，绿植等渠道。主要销售方式以线上线下批发为主，目前扩充零售业务，通过互联网，新媒体等渠道进行有效的宣传
植观园艺,农/林/牧/渔,1年以内高中,网络客服,3-5K,金华,农/林/牧/渔不需要融资0-20人,"售后咨询
淘宝客服
售前咨询
淘宝后台
网络客服",带薪年假，包吃，年终奖，全勤奖，加班补助，员工旅游,加班补助全勤奖年终奖带薪年假员工旅游包吃,接受客户咨询，熟悉淘宝后台及购物流程者优先,具有线上三家淘宝店铺和5000平实体展示大棚，两个满号销售微信主营国内外高端盆器销售和精品进口多肉植物拥有淘宝主播团队，微距直播同类目前三，粉丝量大绩效提成业绩佳
上观园艺,农/林/牧/渔,1-3年大专,文案策划,5-6K,嘉兴,农/林/牧/渔不需要融资20-99人,"广告文案
文案
产品文案
媒体软文
品牌传播",,,工作职责：1、协助总监负责公司各类品牌传播策划方案设计与撰写2、负责公司品牌产品文案的撰写3、负责品牌传播推广文案及宣传资料文案的撰写4、负责品牌对外媒体和广告表现文字的撰写5、定期更新行业资讯，撰写行业快讯6、负责媒体软文和广告资料的收集与整理7、完成上级领导安排的其它工作任务任职资格：1、大专及以上学历，市场营销、电子商务、汉语言文学等相关专业，1年以上文案策划工作经验，会简单图片处理优先2、热爱创意和策划工作，思维灵活，想象力丰富3、具备一定的文字功底,上观园艺科技 引领城市景观整合升级园林景观系统解决专家100项产品发明专利 50000公里花箱铺设 500000件产值规模上观园艺科技，专注城市景观设计、生产及营销，一体化服务供应，为城市园林景观提供整体解决方案。上观整合行业优质供应链与优秀设计团队，依托“杰欣园艺&rdq
甲第园艺,装修装饰,1年以内本科,文案策划,4-7K,南京,装修装饰不需要融资20-99人,"新媒体文案
软文
页面排版
文案
软文推广",年终奖，节日福利，员工旅游，零食下午茶，五险一金，餐补，带薪年假，全勤奖,五险一金全勤奖年终奖带薪年假员工旅游餐补节日福利零食下午茶,公司待遇：1.周末单双休轮休，法定假日正常放假。2.试用期三个月，一金。3.每月有全勤奖，加班有餐补，有考核绩效奖金。4.公司有不定期外出活动聚餐。岗位职责1. 负责各个新媒体平台的内容与运营，如微信公众号、微博、知乎、今日头条等2. 即时掌握新闻热点，能够完成专题策划和编写3. 即时了解公司产品企划，组织相关文字图片素材内容。完成相关内容编辑，进行及时传播。配合设计师完成各项文案工作；配合后期剪辑完成抖音文案的内容梳理4. 利用网络资源，对产品进行软文推广宣传，撰写推广文案。5. 配合领导完成部门的各项工作 岗位要求：1. 本科及以上学历，有一定的文案功底，有经验者优先2. 有1-3年文案编辑工作经验3. 新媒体爱好者，喜欢玩知乎、微博、小红书、抖音4. 具有敏锐的市场洞察力，独特视角，新颖，开阔的创意思维。生动地表达，说服能力。,甲第设计是一家专业从事精品景观设计的团队，主要以高端庭院，民宿，酒店景观为主。依托多年经验发展，项目遍及全国各地，欢迎更多新的伙伴加入，共创前景。
华翔园艺,生活服务,不限不限,淘宝客服,3-4K,常州,生活服务不需要融资0-20人,"电商客服
淘宝客服
做淘宝
电商行业
会画",,,做淘宝需要勤劳 细心和耐心 要求懂电商行业 最好会画CAD图纸 和PS 工资看个人能力而定,本公司专业定做各种户外防腐木景观工程
美诺园艺,电子商务,1-3年大专,电商设计助理,4-8K,北京·顺义区,电子商务不需要融资100-499人,"电商设计
电商文案
设计助理
美工设计
网页布局",定期体检，带薪年假，五险一金，补充医疗保险，加班补助，年终奖，员工旅游,五险一金补充医疗保险定期体检加班补助年终奖带薪年假员工旅游,岗位职责:1、负责淘宝、美工设计，图片处理，要求对绿植、家居类目有一定敏感度，能用简介文案表达产品的卖点;2、熟悉网页焦点理论，对网页布局有丰富经验;对色彩敏感，能处理各种视觉冲突，有良好的审美观;3、负责每款商品的设计和美化，包括拍照方案及图片修改和制作、动画、动态广告条等的设计，商品详情页展示模板设计，日常产品维护、调整、美化;4、淘宝店铺的主页美化，制作促销、描述模板，根据公司产品的上架情况和促销信息自主制作促销广告位，对拍摄后的产品图进行校色、美化处理;5、站在用户角度去思考，提高网站的可用性，优化设计，能够挖掘消费者的浏览习惯和点击需求。6、认真做好各类信息和资料收集、整理、汇总、归档等工作，为公司旗下各项目的成功开发提供优质的素材；任职要求：任职要求：1.二年以上互联网公司/电商公司设计从业经历，可独立完成设计工作；2.优秀的视觉设计能力，认真细致，善于创新，专业的设计、美术、广告、视觉传达等相关专业大专以上学历。4.良好的沟通能力，善于对设计的表达，具有良好的团队协作精神;5.有网页设计、摄影工作经验，美术相关专业者优先。6.精通Dreamweaver、Flash、Fireworks、Photoshop、IIIustrator等软件、精通H5布局；7.精通Html、DIV+CSS等技能，了解JavaScript并能制作一些简单特效;8.具备扎实的美术设计功底和优秀的设计思路和技能；薪资待遇：1、薪资结构：底薪+绩效奖金2、试用期：两个月。有社保。3、上班时间：8:30-17:30，周末双休，享受国家法定节假日，上下班交通便利，,公司是一家年轻的创业型公司，目前公司下属两块业务：第一块：主打多肉植物产品，面向家庭园艺市场。公司经营理念为品质至上，服务至上。公司目前年生产多肉植物200万株，产值1000万元，繁殖品种超过800种。生产技术处于国内行业先进水平，依靠优秀的产品品质和服务品质，在行业和顾客群内赢得了良好的口碑。
爱尚园艺,农/林/牧/渔,1-3年大专,园林绿化项目经理助手,3-5K,萍乡,农/林/牧/渔不需要融资20-99人,"过程管理
项目管理
园林施工
施工流程
园林绿化",加班补助,加班补助,岗位职责1.协助项目经理完成工程预算，现场施工等工作2.服从部门安排以及配合领导工作3.现场安排好人员调配，以及做好记录任职要求 1、大专及以上学历，具有园林施工，以及技术员经验2、精通花卉，园林工程优先;能够熟练应用cad.ps制图软件;3、熟悉施工流程，能够完成项目招标及合同签订工作等 4、具有较强的协调能力，沟通能力，团队合作能力，拥有良好的专业技能，诚实、敬业、责任心强，能吃苦耐劳，遵纪守法。,南昌爱尚园艺有限公司成立于2005年，正式注册于2013年，主要以花园植物生产、花海种植与运营，私家花园、花卉展览、花卉立体造型、景观小品、景观花境等设计与施工的综合性花卉园艺企业。公司致力于打造江西最具特色的花卉园艺企业，以建设美丽中国，园艺让生活更美好为使命，努将公司打造成为江西花园生活
唯识园艺,农/林/牧/渔,不限不限,植物电商文案专员,4-5K,昆明,农/林/牧/渔不需要融资0-20人,"撰稿
软文
内容运营
电子商务
文案",,,1 熟悉并喜欢花花草草 对新奇植物充满好奇 2 热爱且擅长写植物软文（也可心情随笔；小清新软文都可）3 参与我司电商平台产品策划及软文文案撰写,云南唯识园艺有限公司（Yunnan wish gardening Co. Ltd.）成立于2018年初，是一家专业从事进口多肉植物、盆栽花卉等的公司。我们致力于为国内各地区大型花卉市场和各大平台提供种类繁多、精品优质的多肉植物、欧洲铁线莲及各种进口盆栽花卉、种球种苗。作为荷兰进出
天力物业,物业服务,5-10年高中,园艺师,7-8K,重庆,物业服务不需要融资1000-9999人,"植物习性
景观施工
园艺师
种植管理
责任心强",节日福利，餐补，员工旅游，带薪年假，五险一金，年终奖,五险一金年终奖带薪年假员工旅游餐补节日福利,造型修剪、亮点造景方向岗位描述：1、负责城市公司所管辖项目的植物修剪、定型、造型效果、亮点景观打造；2、负责对城市的植物修剪、定型、造型知识、亮点景观进行讲解传授，指导、带领项目同事做好项目的造型修剪、亮点景观打造工作；任职要求：1、熟悉入职区域、城市的植物习性；2、精通植物的修剪、定型、造型搭配、组合造景、细节处理、种植手法；3、年龄55岁以下，身体健康，品行端正，能吃苦耐劳，责任心强；4、学历不限，专业不限，园林景观等相关专业优先考虑；5、6年以上现场景观施工种植管理经验；职位级别：主管级,"一、富力地产集团简介富力地产集团自1994年创立以来，立足广州，布局全球，是中国综合实力最强的房地产企业之一。富力地产作为多元化发展集团，核心业务覆盖地产经营全链条，还拓展至酒店、物流、互联网、电商贸易、医疗、足球等领域。截至2018年6月，富力拥有权益土地储备约5,700万平方米。2018"
盛世红园艺,电子商务,不限本科,淘宝美工设计,3-5K,漳州,电子商务不需要融资0-20人,"美工
平面设计
设计师
淘宝美工设计
淘宝详情页",全勤奖，加班补助,加班补助全勤奖,1.淘宝详情页制作2.淘宝上下架,绿植电商
爱垦园艺,农/林/牧/渔,1-3年本科,温室项目经理,4-6K,厦门·湖里区,农/林/牧/渔不需要融资20-99人,"具有系统
园艺
精通英语
项目管理
工程进度",带薪年假，年终奖，员工旅游，交通补助，加班补助，节日福利，五险一金，通讯补贴,五险一金加班补助年终奖带薪年假员工旅游通讯补贴交通补助节日福利,1、本科以上学历，园艺设施等相关专业毕业（精通英语者优先考虑）；2、对温室建造、温室作物栽培熟悉；3、具有系统的项目管理落地思维，沟通能力和组织协调能力，较强的项目推进管理能力，善于控制成本、工程进度及质量；4、有驾照并有驾驶经验者优先考虑。5、愿意长期与公司共同成长者。,厦门爱垦园艺有限公司专业从事花卉、草坪、林木等优良品种引进、推广及销售，并致力于提供园艺资材、设施、工具等配套服务，是“福建省花卉协会种子与资材分会”的挂靠单位，荣获2006-2007年度、2008-2009年度、2010-2011年度“福建省花卉产业发展贡献奖&
泰笛,电子商务,1-3年大专,园林/园艺师/植物养护师,5-6K,深圳·罗湖区,电子商务已上市500-999人,"铺装
植物养护
园艺
绿植盆栽
园艺师",带薪年假，五险一金，节日福利，补充医疗保险,五险一金补充医疗保险带薪年假节日福利,"岗位职责：1、负责我司租摆客户的盆景绿植养护及采购和更换2、 负责出入库对接,出入库存等数据的汇总以及汇报,维护后台后台绿植数据；3、为设计、组盆绿植盆栽产品提供咨询，为公司线上平台提供产品4、完成上级领导安排的其他工作事宜。任职要求：1、园艺相关专业；2、熟悉绿植养护技术；3、懂得办公软件基本操作；4、敬业爱岗，吃苦耐劳，工作抗压性强，富有团队精神；5、大专以上学历，优秀者可放宽条件。备注：日常养护地点主要为南山及福田区的客户",泰笛是基于APP的居家上门服务品牌，是顺应消费升级大势的典型互联网+生活服务企业，旗下拥有两大品类——泰笛洗涤和泰笛绿植。2012年泰笛在上海推出在线洗涤业务，为客户提供在线洗衣、洗包、洗鞋、洗护奢侈品及居家用品洗护服务等一站式洗涤服务。2015年易观智库数据显示，泰笛洗涤在
西安青木花叶园艺...,其他专业服务,1-3年本科,园艺师,4-6K,西安,其他专业服务不需要融资20-99人,"园艺师
写字楼
设计
商业",带薪年假，年终奖,年终奖带薪年假,商场/机场绿植/花卉摆放设计；写字楼绿植/花卉摆放设计。,"青木花叶，绿色空间定制者！我们专注从事室内绿植/花卉租赁服务，是西安唯一集场景设计、租赁摆放、修剪养护为一体的室内园艺公司。我们根据您的场地环境和场景预期定制设计方案，定期的修剪养护保证绿叶长青、干净整洁。	我们做行业的引领者；我们依托优质服务取信客户；我们觉得设计过的摆放才有价值；给我们一个空间，"
香榭里园艺,其他服务业,1年以内不限,平面设计师,5-8K,上海·闵行区,其他服务业不需要融资20-99人,"广告设计
美工
单页设计
画面设计
生鲜超市",,,商场内灯箱画面设计，公司招商单页设计，生鲜超市平面设计,
舍非园艺,移动互联网,不限本科,园艺师,5-6K,上海·浦东新区,移动互联网不需要融资100-499人,"别墅景观
园艺师
养护工作
实操技能
无经验",带薪年假，交通补助，节日福利，零食下午茶，餐补，年终奖，全勤奖，五险一金,五险一金全勤奖年终奖带薪年假餐补交通补助节日福利零食下午茶,岗位职责：1、承担养护区域内植物的施肥、浇水、修剪、病虫害 防治和除杂等养护工作，维护和管理所养护区域内庭院植物的健康生长；2、服从组长的工作安排，遵守工作纪律，定期总结学习专业知识， 提高养护技能，确保责任区域内的养护质量，完成上级交给的工作任务；3、掌握养护区域内庭院植物情况和客户信息；4、保管和维护所使用的工具；5、做好养护日志及养护的日常巡视，对疑问及事故情况及时的向组长或技术指导人员报告。岗位要求：1、掌握基本的庭院养护知识和实操技能；2、熟练使用常用园林机械；3、吃苦耐劳，服从管理，善于学习，喜爱园林艺术；4、有相关行业经验者优先，无经验亦可培训。5、有驾照优先。,舍非园艺是中国互联网园艺服务品牌，隶属于杭州淘园易网络科技有限公司，致力于为高端别墅提供专业庭院养护、庭院微整服务，为精英家庭创造美丽、健康的绿色庭院生活。自创立以来，舍非园艺始终秉承「互联美丽园艺，共享绿色生活」的品牌理念，致力于以前瞻化视角、定制化方案、专业化设备、流程化管理、互联网化运作，为
